NUMEROORDEN,IDCERCO,IDFISCAL,EVENTO,TIEMPO,MODOFISCALIZACION,PROCESOS,EJECUCION,ADMINISTRACION,SEGURIDAD,ENTREGA,FLAG_AUDITAR
1-145147197548,112,705,FISCALIZACIÓN ESPECIAL,0.005143,EN VIVO,,,,,,1
1-145092960968,167,693,TROUBLE CALL,30.873298,EN VIVO,1,1,1,1,1,0
1-143364465902,388,7398,FISCALIZACIÓN ESPECIAL,0.00398,POSTERIOR,,,,,,0
1-145132763373,198,701,TROUBLE CALL,34.075706,EN VIVO,1,1,1,1,0.833333333,0
1-145051556332,279,14227,INSTALACIÓN,12.288449,EN VIVO,1,1,1,1,1,0
1-144533882776,154,717,CAMBIO TOTAL DE ACOMETIDA,0.007913,POSTERIOR,1,1,,,1,0
1-143505453406,167,8002,TROUBLE CALL,31.569866,POSTERIOR,1,1,,,1,0
1-139802426852,399,18883,INSTALACIÓN,37.718786,POSTERIOR,1,1,,,1,0
1-144076402876,185,7987,TROUBLE CALL,9.423986,POSTERIOR,0,1,,,0.5,0
1-144363349742,237,2858,INSTALACIÓN,28.798214,POSTERIOR,1,1,,,1,0
1-144793862325,156,2530,INSTALACIÓN,55.10496,POSTERIOR,1,1,,,1,0
1-144470685752,196,19361,INSTALACIÓN,32.397735,POSTERIOR,1,1,,,1,0
1-145046247952,388,7398,TROUBLE CALL,2.444918,EN VIVO,1,1,1,1,1,1
1-144973486599,196,19361,TROUBLE CALL,54.696498,EN VIVO,1,1,1,1,1,0
1-145128254285,196,19361,CAMBIO TOTAL DE ACOMETIDA,0.006533,EN VIVO,1,1,1,1,1,1
1-144867403479,185,7987,TROUBLE CALL,28.836471,POSTERIOR,1,1,,,1,0
1-143898995052,166,14216,INSTALACIÓN,2.111847,POSTERIOR,1,1,,,1,0
1-145062414260,237,2858,FISCALIZACIÓN ESPECIAL,0.002226,EN VIVO,,,,,,1
1-141287362342,305,14228,INSTALACIÓN,45.257312,POSTERIOR,1,1,,,1,0
1-144107303908,388,663,TROUBLE CALL,35.292741,POSTERIOR,0,1,,,1,0
1-145128225612,201,703,TROUBLE CALL,27.297738,EN VIVO,1,1,1,1,1,0
1-143794285867,113,28102,TROUBLE CALL,24.083212,POSTERIOR,1,1,,,1,0
1-145125647079,279,14227,INSTALACIÓN,2.68784,EN VIVO,1,1,1,1,0.8,1
1-145065875290,139,706,FISCALIZACIÓN ESPECIAL,0.010182,EN VIVO,,,,,,1
1-144466376812,403,21262,INSTALACIÓN,53.39303,POSTERIOR,1,1,,,1,0
1-145122206716,100,14407,FISCALIZACIÓN ESPECIAL,0.005753,EN VIVO,,,,,,1
1-145122206716,100,14407,FISCALIZACIÓN ESPECIAL,0.004489,EN VIVO,,,,,,1
1-144974926354,156,2530,INSTALACIÓN,36.801336,POSTERIOR,1,1,,,1,0
1-143444381337,156,12578,FISCALIZACIÓN ESPECIAL,0.010595,POSTERIOR,,,,,,0
1-144393007550,347,3561,INSTALACIÓN,34.039201,POSTERIOR,1,0.833333333,,,0,0
1-145044242347,113,14409,TROUBLE CALL,28.176437,POSTERIOR,1,1,,,1,0
1-144691979893,189,14461,TROUBLE CALL,25.618797,POSTERIOR,1,1,,,0.5,0
1-144985393683,305,14228,TROUBLE CALL,57.814262,POSTERIOR,1,1,,,1,0
1-144283998056,347,3561,INSTALACIÓN,6.977275,POSTERIOR,1,0.5,,,1,0
